,experiment,response time (ms),Subject,block,sortCol,typeOrder
275,tactor,159.00672,1,1,a,1
276,tactor,320.1024,1,1,a,1
277,tactor,221.83935999999994,1,1,a,1
278,tactor,450.47808,1,1,a,1
279,tactor,295.56735999999995,1,1,a,1
280,tactor,496.2304000000001,1,1,a,1
281,tactor,399.68768,1,1,a,1
282,tactor,314.94144,1,1,a,1
283,tactor,262.88128,1,1,a,1
284,tactor,340.70527999999996,1,1,a,1
285,tactor,455.35232,1,1,a,1
287,tactor,493.97759999999994,1,1,a,1
288,tactor,363.15136,1,1,a,1
289,tactor,340.41855999999996,1,1,a,1
290,tactor,366.01856,1,1,a,1
291,tactor,443.84256,1,1,a,1
292,tactor,325.87775999999997,1,1,a,1
293,tactor,330.26048000000003,1,1,a,1
294,tactor,539.3612800000001,1,1,a,1
295,tactor,325.01759999999996,1,1,a,1
296,tactor,269.55776,1,1,a,1
297,tactor,612.51584,1,1,a,1
299,tactor,207.17568000000003,1,1,a,1
300,tactor,378.96191999999996,1,1,a,1
303,tactor,300.81023999999996,1,1,a,1
304,tactor,276.84864,1,1,a,1
305,tactor,444.0473600000001,1,1,a,1
306,tactor,719.29856,1,1,a,1
307,tactor,564.30592,1,1,a,1
309,tactor,312.52479999999997,1,1,a,1
310,tactor,366.01856,1,1,a,1
311,tactor,301.95712,1,1,a,1
312,tactor,319.03743999999995,1,1,a,1
313,tactor,321.9456,1,1,a,1
315,tactor,220.20096000000004,1,1,a,1
316,tactor,250.47039999999998,1,1,a,1
320,tactor,223.15007999999997,1,1,a,1
321,tactor,369.09056000000004,1,1,a,1
324,tactor,265.91231999999997,1,1,a,1
325,tactor,323.9936000000001,1,1,a,1
327,tactor,197.26336,1,1,a,1
328,tactor,271.40095999999994,1,1,a,1
329,tactor,300.31872,1,1,a,1
330,tactor,257.55647999999997,1,1,a,1
331,tactor,110.18240000000002,1,1,a,1
332,tactor,257.18784000000005,1,1,a,1
334,tactor,182.272,1,1,a,1
335,tactor,388.54656,1,1,a,1
336,tactor,231.34208000000007,1,1,a,1
341,tactor,353.52576000000005,1,1,a,1
342,tactor,256.77824,1,1,a,1
343,tactor,325.0176000000001,1,1,a,1
344,tactor,309.49375999999995,1,1,a,1
345,tactor,355.28704,1,1,a,1
346,tactor,229.9904,1,1,a,1
347,tactor,129.18784000000002,1,1,a,1
348,tactor,229.82656,1,1,a,1
349,tactor,248.17664,1,1,a,1
359,tactor,376.05376,1,1,a,1
360,tactor,363.80672,1,1,a,1
361,tactor,149.95456000000001,1,1,a,1
362,tactor,321.20832,1,1,a,1
364,tactor,225.15712000000005,1,1,a,1
368,tactor,616.6528,1,1,a,1
371,tactor,241.58208000000002,1,1,a,1
373,tactor,299.29472,1,1,a,1
0,200 ms ,441.344,1,1,c,0
1,200 ms ,821.12512,1,1,c,0
2,200 ms ,465.92,1,1,c,0
3,200 ms ,398.62271999999996,1,1,c,0
4,200 ms ,473.088,1,1,c,0
5,200 ms ,546.4064,1,1,c,0
6,200 ms ,811.4176,1,1,c,0
7,200 ms ,701.35808,1,1,c,0
8,200 ms ,451.05152,1,1,c,0
9,200 ms ,444.45696000000004,1,1,c,0
10,200 ms ,349.88032000000004,1,1,c,0
11,200 ms ,487.46496,1,1,c,0
12,200 ms ,453.59104,1,1,c,0
13,200 ms ,444.66176,1,1,c,0
14,200 ms ,449.16736000000003,1,1,c,0
15,200 ms ,420.00384,1,1,c,0
16,200 ms ,413.94176,1,1,c,0
17,200 ms ,395.63264,1,1,c,0
18,200 ms ,516.21888,1,1,c,0
19,200 ms ,404.52096,1,1,c,0
20,200 ms ,472.4736,1,1,c,0
21,200 ms ,524.12416,1,1,c,0
22,200 ms ,447.52896,1,1,c,0
23,200 ms ,461.824,1,1,c,0
24,200 ms ,478.6176,1,1,c,0
25,200 ms ,405.13536,1,1,c,0
26,200 ms ,441.42592,1,1,c,0
27,200 ms ,432.00512000000003,1,1,c,0
28,200 ms ,403.57887999999997,1,1,c,0
29,200 ms ,500.69504,1,1,c,0
30,200 ms ,419.38944,1,1,c,0
31,200 ms ,403.57887999999997,1,1,c,0
32,200 ms ,452.97664,1,1,c,0
33,200 ms ,368.47616,1,1,c,0
34,200 ms ,420.08576,1,1,c,0
35,200 ms ,400.7936,1,1,c,0
36,200 ms ,460.18559999999997,1,1,c,0
37,200 ms ,500.81792,1,1,c,0
39,200 ms ,376.58624000000003,1,1,c,0
40,200 ms ,446.91456,1,1,c,0
41,200 ms ,403.53792,1,1,c,0
42,200 ms ,190.2592,1,1,c,0
43,200 ms ,433.9712,1,1,c,0
44,200 ms ,460.18559999999997,1,1,c,0
45,200 ms ,404.43904000000003,1,1,c,0
46,200 ms ,442.90047999999996,1,1,c,0
47,200 ms ,422.33856,1,1,c,0
48,200 ms ,503.43936,1,1,c,0
49,200 ms ,474.15296,1,1,c,0
50,200 ms ,489.6768,1,1,c,0
51,200 ms ,445.27616,1,1,c,0
52,200 ms ,662.28224,1,1,c,0
53,200 ms ,580.32128,1,1,c,0
54,200 ms ,400.01536,1,1,c,0
55,200 ms ,668.79488,1,1,c,0
56,200 ms ,548.90496,1,1,c,0
57,200 ms ,522.8544,1,1,c,0
58,200 ms ,454.656,1,1,c,0
59,200 ms ,513.6384,1,1,c,0
60,200 ms ,526.336,1,1,c,0
61,200 ms ,503.80800000000005,1,1,c,0
62,200 ms ,486.35904,1,1,c,0
63,200 ms ,684.8512,1,1,c,0
64,200 ms ,476.93824,1,1,c,0
65,200 ms ,481.85344000000003,1,1,c,0
66,200 ms ,435.93728,1,1,c,0
67,200 ms ,497.90976,1,1,c,0
68,200 ms ,429.21984000000003,1,1,c,0
69,200 ms ,495.0016,1,1,c,0
70,200 ms ,465.1008,1,1,c,0
71,200 ms ,472.76032000000004,1,1,c,0
72,200 ms ,457.89184,1,1,c,0
73,200 ms ,464.60928,1,1,c,0
74,200 ms ,424.09984000000003,1,1,c,0
75,200 ms ,475.136,1,1,c,0
76,200 ms ,520.6016,1,1,c,0
77,200 ms ,394.0352,1,1,c,0
78,200 ms ,395.0592,1,1,c,0
79,200 ms ,460.8,1,1,c,0
80,200 ms ,496.59904,1,1,c,0
81,200 ms ,481.4848,1,1,c,0
82,200 ms ,488.12032,1,1,c,0
83,200 ms ,432.74240000000003,1,1,c,0
84,200 ms ,401.73568,1,1,c,0
85,200 ms ,575.44704,1,1,c,0
0,tactor,726.13888,2,1,a,1
1,tactor,181.2070400000001,2,1,a,1
2,tactor,130.99008000000012,2,1,a,1
3,tactor,192.06144000000003,2,1,a,1
4,tactor,241.29535999999985,2,1,a,1
5,tactor,179.77344000000016,2,1,a,1
6,tactor,230.56384000000008,2,1,a,1
7,tactor,206.31551999999985,2,1,a,1
8,tactor,223.15007999999992,2,1,a,1
9,tactor,197.4271999999999,2,1,a,1
10,tactor,193.12640000000013,2,1,a,1
11,tactor,192.75775999999988,2,1,a,1
