,experiment,response time (ms),Subject,block,sortCol,typeOrder
275,touch,195.66592,1,1,a,False
276,touch,320.06144,1,1,a,False
277,touch,221.2659199999998,1,1,a,False
278,touch,447.65184000000005,1,1,a,False
279,touch,294.78912,1,1,a,False
280,touch,495.45216000000005,1,1,a,False
281,touch,399.44192,1,1,a,False
282,touch,313.30303999999995,1,1,a,False
283,touch,262.79936000000004,1,1,a,False
284,touch,340.0908799999999,1,1,a,False
285,touch,454.77888,1,1,a,False
286,touch,388.096,1,1,a,False
287,touch,493.19936,1,1,a,False
288,touch,367.28832,1,1,a,False
289,touch,339.43552000000005,1,1,a,False
290,touch,365.89567999999997,1,1,a,False
291,touch,443.392,1,1,a,False
292,touch,325.18144,1,1,a,False
293,touch,329.97375999999997,1,1,a,False
294,touch,537.6409600000001,1,1,a,False
295,touch,322.60096,1,1,a,False
296,touch,269.02528,1,1,a,False
297,touch,612.39296,1,1,a,False
298,touch,246.04672000000005,1,1,a,False
299,touch,207.01184,1,1,a,False
300,touch,378.4704,1,1,a,False
303,touch,300.2368,1,1,a,False
304,touch,274.18624,1,1,a,False
305,touch,443.26912000000004,1,1,a,False
306,touch,718.72512,1,1,a,False
307,touch,561.3568,1,1,a,False
308,touch,378.30656,1,1,a,False
309,touch,312.36096,1,1,a,False
310,touch,365.32224,1,1,a,False
311,touch,299.29472000000004,1,1,a,False
312,touch,444.33408000000003,1,1,a,False
313,touch,321.33119999999997,1,1,a,False
314,touch,169.32864000000004,1,1,a,False
315,touch,219.25888,1,1,a,False
316,touch,250.42944,1,1,a,False
320,touch,222.57663999999994,1,1,a,False
321,touch,367.57504,1,1,a,False
323,touch,222.28992000000002,1,1,a,False
324,touch,262.75839999999994,1,1,a,False
326,touch,349.9212800000001,1,1,a,False
327,touch,197.09951999999998,1,1,a,False
328,touch,271.36,1,1,a,False
329,touch,297.36960000000005,1,1,a,False
330,touch,256.45056,1,1,a,False
331,touch,231.30112000000003,1,1,a,False
332,touch,255.01695999999995,1,1,a,False
334,touch,312.97535999999997,1,1,a,False
335,touch,387.6864,1,1,a,False
336,touch,228.76160000000007,1,1,a,False
340,touch,435.32287999999994,1,1,a,False
341,touch,353.4438400000001,1,1,a,False
342,touch,254.48448000000008,1,1,a,False
343,touch,324.68992000000003,1,1,a,False
344,touch,308.46976000000006,1,1,a,False
345,touch,354.67264,1,1,a,False
346,touch,228.5568,1,1,a,False
347,touch,185.83552,1,1,a,False
348,touch,229.74464,1,1,a,False
349,touch,248.13568000000004,1,1,a,False
350,touch,229.33504000000005,1,1,a,False
359,touch,374.08768000000003,1,1,a,False
360,touch,363.76576,1,1,a,False
362,touch,320.18431999999996,1,1,a,False
363,touch,304.61952,1,1,a,False
364,touch,224.33792000000003,1,1,a,False
368,touch,616.4479999999999,1,1,a,False
371,touch,263.04512,1,1,a,False
373,touch,304.61951999999997,1,1,a,False
0,200 ms ,440.7296,1,1,c,True
1,200 ms ,821.00224,1,1,c,True
2,200 ms ,465.75615999999997,1,1,c,True
3,200 ms ,397.96736,1,1,c,True
4,200 ms ,472.96512,1,1,c,True
5,200 ms ,546.4064,1,1,c,True
7,200 ms ,700.6208,1,1,c,True
8,200 ms ,450.56,1,1,c,True
9,200 ms ,442.85952000000003,1,1,c,True
10,200 ms ,348.20096,1,1,c,True
11,200 ms ,487.38304,1,1,c,True
12,200 ms ,450.84672,1,1,c,True
13,200 ms ,443.88352,1,1,c,True
14,200 ms ,448.02048,1,1,c,True
15,200 ms ,419.10272,1,1,c,True
16,200 ms ,412.59008,1,1,c,True
17,200 ms ,394.77248,1,1,c,True
18,200 ms ,516.17792,1,1,c,True
19,200 ms ,403.98848,1,1,c,True
20,200 ms ,472.43264,1,1,c,True
21,200 ms ,524.0831999999999,1,1,c,True
22,200 ms ,447.32416,1,1,c,True
23,200 ms ,459.24352,1,1,c,True
24,200 ms ,477.5936,1,1,c,True
25,200 ms ,404.35712,1,1,c,True
26,200 ms ,440.60672,1,1,c,True
27,200 ms ,430.81728000000004,1,1,c,True
28,200 ms ,402.80064,1,1,c,True
29,200 ms ,499.42528000000004,1,1,c,True
30,200 ms ,418.11968,1,1,c,True
31,200 ms ,402.80064,1,1,c,True
33,200 ms ,366.34623999999997,1,1,c,True
34,200 ms ,420.00384,1,1,c,True
35,200 ms ,399.1552,1,1,c,True
36,200 ms ,456.66304,1,1,c,True
39,200 ms ,376.38144,1,1,c,True
40,200 ms ,446.8736,1,1,c,True
41,200 ms ,403.00543999999996,1,1,c,True
42,200 ms ,493.48608,1,1,c,True
44,200 ms ,459.03872,1,1,c,True
45,200 ms ,404.43904000000003,1,1,c,True
46,200 ms ,441.91744,1,1,c,True
47,200 ms ,421.888,1,1,c,True
48,200 ms ,502.70208,1,1,c,True
49,200 ms ,473.2928,1,1,c,True
50,200 ms ,488.98048,1,1,c,True
51,200 ms ,442.90047999999996,1,1,c,True
52,200 ms ,662.07744,1,1,c,True
53,200 ms ,579.50208,1,1,c,True
