,experiment,response time (ms),Subject,block,sortCol,typeOrder
275,touch,196.74687999999995,1,1,a,False
276,touch,321.1424,1,1,a,False
277,touch,222.3468799999999,1,1,a,False
278,touch,448.7328,1,1,a,False
279,touch,295.87008000000003,1,1,a,False
280,touch,496.53312,1,1,a,False
281,touch,400.52288000000004,1,1,a,False
282,touch,314.38399999999996,1,1,a,False
283,touch,263.88032,1,1,a,False
284,touch,341.17184000000003,1,1,a,False
285,touch,455.85984,1,1,a,False
286,touch,389.17696,1,1,a,False
287,touch,494.28032,1,1,a,False
288,touch,368.36927999999995,1,1,a,False
289,touch,340.51648,1,1,a,False
290,touch,366.97664000000003,1,1,a,False
291,touch,444.47296,1,1,a,False
292,touch,326.26239999999996,1,1,a,False
293,touch,331.05472000000003,1,1,a,False
294,touch,538.7219200000001,1,1,a,False
295,touch,323.68191999999993,1,1,a,False
296,touch,270.10624,1,1,a,False
297,touch,613.4739199999999,1,1,a,False
298,touch,247.12768000000003,1,1,a,False
299,touch,208.0928,1,1,a,False
300,touch,379.55135999999993,1,1,a,False
303,touch,301.31775999999996,1,1,a,False
304,touch,275.2672,1,1,a,False
305,touch,444.35008,1,1,a,False
306,touch,719.8060800000001,1,1,a,False
307,touch,562.4377599999999,1,1,a,False
308,touch,379.38752,1,1,a,False
309,touch,313.44192000000004,1,1,a,False
310,touch,366.40319999999997,1,1,a,False
311,touch,300.37568,1,1,a,False
312,touch,445.41504,1,1,a,False
313,touch,322.41216,1,1,a,False
314,touch,170.40959999999998,1,1,a,False
315,touch,220.33984,1,1,a,False
316,touch,251.51040000000003,1,1,a,False
320,touch,223.6576,1,1,a,False
321,touch,368.656,1,1,a,False
323,touch,223.37088,1,1,a,False
324,touch,263.83936000000006,1,1,a,False
325,touch,324.70592,1,1,a,False
327,touch,198.18048,1,1,a,False
328,touch,272.44095999999996,1,1,a,False
329,touch,298.45056000000005,1,1,a,False
330,touch,257.53152,1,1,a,False
331,touch,232.38208,1,1,a,False
332,touch,256.09792000000004,1,1,a,False
334,touch,314.05631999999997,1,1,a,False
335,touch,388.76736,1,1,a,False
336,touch,229.84256000000002,1,1,a,False
340,touch,436.40383999999995,1,1,a,False
341,touch,354.5248,1,1,a,False
342,touch,255.56544000000002,1,1,a,False
343,touch,325.77088,1,1,a,False
344,touch,309.55072000000007,1,1,a,False
345,touch,355.7536,1,1,a,False
346,touch,229.63775999999996,1,1,a,False
347,touch,186.91648,1,1,a,False
348,touch,230.8256,1,1,a,False
349,touch,249.21663999999998,1,1,a,False
350,touch,230.416,1,1,a,False
359,touch,375.16864,1,1,a,False
360,touch,364.84671999999995,1,1,a,False
362,touch,321.2652799999999,1,1,a,False
363,touch,305.70047999999997,1,1,a,False
364,touch,225.41888,1,1,a,False
368,touch,617.5289599999999,1,1,a,False
371,touch,264.12608,1,1,a,False
373,touch,305.7004799999999,1,1,a,False
0,200 ms ,440.77056,1,1,c,True
1,200 ms ,821.0432,1,1,c,True
2,200 ms ,465.79712,1,1,c,True
3,200 ms ,398.00832,1,1,c,True
4,200 ms ,473.00608,1,1,c,True
5,200 ms ,546.44736,1,1,c,True
6,200 ms ,810.76224,1,1,c,True
