,experiment,response time (ms),Subject,block,sortCol,typeOrder
275,touch,160.04671999999997,1,1,a,False
276,touch,321.1424,1,1,a,False
277,touch,222.87935999999985,1,1,a,False
278,touch,451.51808,1,1,a,False
279,touch,296.60735999999997,1,1,a,False
280,touch,497.27040000000005,1,1,a,False
281,touch,400.72768,1,1,a,False
282,touch,315.98144,1,1,a,False
283,touch,263.92127999999997,1,1,a,False
284,touch,341.7452799999999,1,1,a,False
285,touch,456.3923200000001,1,1,a,False
287,touch,495.01759999999996,1,1,a,False
288,touch,364.19136000000003,1,1,a,False
289,touch,341.45856,1,1,a,False
290,touch,367.05856,1,1,a,False
291,touch,444.88255999999996,1,1,a,False
292,touch,326.91775999999993,1,1,a,False
293,touch,331.30048,1,1,a,False
294,touch,540.40128,1,1,a,False
295,touch,326.0575999999999,1,1,a,False
296,touch,270.59775999999994,1,1,a,False
297,touch,613.5558400000001,1,1,a,False
299,touch,208.21568000000002,1,1,a,False
300,touch,380.0019199999999,1,1,a,False
303,touch,301.8502399999999,1,1,a,False
304,touch,277.88863999999995,1,1,a,False
305,touch,445.08736000000005,1,1,a,False
306,touch,720.3385599999999,1,1,a,False
307,touch,565.34592,1,1,a,False
309,touch,313.5648,1,1,a,False
310,touch,367.05856,1,1,a,False
311,touch,302.99711999999994,1,1,a,False
312,touch,320.0774399999999,1,1,a,False
313,touch,322.9856,1,1,a,False
315,touch,221.24096000000003,1,1,a,False
316,touch,251.51040000000003,1,1,a,False
320,touch,224.19007999999997,1,1,a,False
321,touch,370.13056,1,1,a,False
324,touch,266.95232000000004,1,1,a,False
325,touch,325.03360000000004,1,1,a,False
327,touch,198.30336,1,1,a,False
328,touch,272.44095999999996,1,1,a,False
329,touch,301.35871999999995,1,1,a,False
330,touch,258.59648000000004,1,1,a,False
332,touch,258.22784,1,1,a,False
334,touch,183.31199999999998,1,1,a,False
335,touch,389.58656,1,1,a,False
336,touch,232.38208000000006,1,1,a,False
341,touch,354.56576,1,1,a,False
342,touch,257.81824,1,1,a,False
343,touch,326.05760000000004,1,1,a,False
344,touch,310.53376,1,1,a,False
345,touch,356.32704,1,1,a,False
346,touch,231.03039999999996,1,1,a,False
348,touch,230.86656,1,1,a,False
349,touch,249.21663999999998,1,1,a,False
359,touch,377.09376,1,1,a,False
360,touch,364.84671999999995,1,1,a,False
361,touch,150.99456,1,1,a,False
362,touch,322.24832,1,1,a,False
364,touch,226.19712000000004,1,1,a,False
368,touch,617.6928,1,1,a,False
371,touch,242.62208,1,1,a,False
373,touch,300.33471999999995,1,1,a,False
0,200 ms ,441.344,1,1,c,True
1,200 ms ,821.12512,1,1,c,True
